run,index,byte,encoded,time_us,corrected,seq_num
1,0,84,84,1748286531227713,False,2000
1,1,104,104,1748286531736883,False,2001
1,2,105,105,1748286532337811,False,2002
1,3,63,0,1748286532350472,False,2003
1,4,32,32,1748286533942065,False,2004
1,5,105,105,1748286535046661,False,2005
1,6,115,115,1748286536152816,False,2006
1,7,32,32,1748286537257505,False,2007
1,8,97,97,1748286538360002,False,2008
1,9,32,32,1748286539464402,False,2009
1,10,116,116,1748286540566561,False,2010
1,11,111,111,1748286541668720,False,2011
1,12,112,112,1748286542773272,False,2012
1,13,32,32,1748286543877888,False,2013
1,14,115,115,1748286544981059,False,2014
1,15,101,101,1748286546083306,False,2015
1,16,99,99,1748286547184818,False,2016
1,17,114,114,1748286548287752,False,2017
1,18,101,101,1748286549392060,False,2018
1,19,116,116,1748286550496657,False,2019
1,20,32,32,1748286551599261,False,2020
1,21,109,109,1748286552702917,False,2021
1,22,101,101,1748286553807293,False,2022
1,23,63,0,1748286553833143,False,2023
1,24,115,115,1748286556014108,False,2024
1,25,97,97,1748286557117992,False,2025
1,26,103,103,1748286558221115,False,2026
1,27,101,101,1748286559325086,False,2027
1,28,32,32,1748286560428407,False,2028
1,29,98,98,1748286561531783,False,2029
1,30,101,101,1748286562637382,False,2030
1,31,105,105,1748286563739143,False,2031
1,32,110,110,1748286564842897,False,2032
1,33,103,103,1748286565947504,False,2033
1,34,32,32,1748286567053539,False,2034
1,35,116,116,1748286568155003,False,2035
1,36,114,114,1748286569257847,False,2036
1,37,97,97,1748286570361854,False,2037
1,38,110,110,1748286571466780,False,2038
1,39,115,115,1748286572571668,False,2039
1,40,109,109,1748286573673292,False,2040
1,41,105,105,1748286574775938,False,2041
1,42,116,116,1748286575880051,False,2042
1,43,116,116,1748286576983319,False,2043
1,44,101,101,1748286578091567,False,2044
1,45,100,100,1748286579193345,False,2045
1,46,32,32,1748286580303113,False,2046
1,47,118,118,1748286581399917,False,2047
1,48,105,105,1748286582504156,False,2048
1,49,97,97,1748286583608959,False,2049
1,50,32,32,1748286584712381,False,2050
1,51,84,84,1748286585817129,False,2051
1,52,67,67,1748286586920864,False,2052
1,53,80,80,1748286588023492,False,2053
1,54,32,32,1748286589126387,False,2054
1,55,119,119,1748286590228445,False,2055
1,56,105,105,1748286591333132,False,2056
1,57,110,110,1748286592436797,False,2057
1,58,100,100,1748286593539605,False,2058
1,59,111,111,1748286594643067,False,2059
1,60,119,119,1748286595747498,False,2060
1,61,32,32,1748286596851113,False,2061
1,62,115,115,1748286597955135,False,2062
1,63,105,105,1748286599058271,False,2063
1,64,122,122,1748286600163334,False,2064
1,65,101,101,1748286601264689,False,2065
1,66,32,32,1748286602368160,False,2066
1,67,99,99,1748286603471009,False,2067
1,68,111,111,1748286604572694,False,2068
1,69,118,118,1748286605676964,False,2069
1,70,101,101,1748286606782780,False,2070
1,71,114,114,1748286607885619,False,2071
1,72,116,116,1748286608992683,False,2072
1,73,32,32,1748286610093804,False,2073
1,74,99,99,1748286611197606,False,2074
1,75,104,104,1748286612299798,False,2075
1,76,97,97,1748286613404167,False,2076
1,77,110,110,1748286614507531,False,2077
1,78,110,110,1748286615611447,False,2078
1,79,101,101,1748286616715056,False,2079
1,80,108,108,1748286617818721,False,2080
1,81,46,46,1748286618921856,False,2081
1,82,10,10,1748286620026958,False,2082
1,83,84,84,1748286621131319,False,2083
1,84,104,104,1748286622233716,False,2084
1,85,101,101,1748286623335622,False,2085
1,86,32,32,1748286624439834,False,2086
1,87,114,114,1748286625543727,False,2087
1,88,101,101,1748286626647930,False,2088
1,89,99,99,1748286627749731,False,2089
1,90,101,101,1748286628855016,False,2090
1,91,105,105,1748286629956721,False,2091
1,92,118,118,1748286631062821,False,2092
1,93,63,0,1748286631078016,False,2093
1,94,114,114,1748286633269991,False,2094
1,95,32,32,1748286634375111,False,2095
1,96,115,115,1748286635478749,False,2096
1,97,104,104,1748286636581456,False,2097
1,98,111,111,1748286637686250,False,2098
1,99,117,117,1748286638789396,False,2099
1,100,84,108,1748286639893087,True,2100
1,101,104,100,1748286640997192,True,2101
1,102,105,32,1748286642099933,True,2102
1,103,157,157,1748286643203909,False,2103
1,104,32,101,1748286644306870,True,2104
1,105,105,32,1748286645410426,True,2105
1,106,115,97,1748286646513861,True,2106
1,107,32,98,1748286647619048,True,2107
1,108,97,108,1748286648722949,True,2108
1,109,32,101,1748286649825937,True,2109
1,110,116,32,1748286650930003,True,2110
1,111,111,116,1748286652034391,True,2111
1,112,112,111,1748286653137484,True,2112
1,113,32,32,1748286654240518,False,2113
1,114,115,100,1748286655344257,True,2114
1,115,101,101,1748286656446884,False,2115
1,116,99,99,1748286657550656,False,2116
1,117,114,111,1748286658654391,True,2117
1,118,101,100,1748286659757243,True,2118
1,119,116,101,1748286660861245,True,2119
1,120,32,32,1748286661964400,False,2120
1,121,109,116,1748286663067769,True,2121
1,122,101,104,1748286664171049,True,2122
1,123,115,105,1748286665275078,True,2123
1,124,115,115,1748286666379483,False,2124
1,125,97,32,1748286667481777,True,2125
1,126,103,109,1748286668586764,True,2126
1,127,101,101,1748286669690324,False,2127
1,128,32,115,1748286670794271,True,2128
1,129,63,0,1748286670804439,False,2129
1,130,101,97,1748286673000353,True,2130
1,131,105,103,1748286674103432,True,2131
1,132,110,101,1748286675205880,True,2132
1,133,103,32,1748286676311038,True,2133
1,134,32,119,1748286677412965,True,2134
1,135,116,105,1748286678517798,True,2135
1,136,114,116,1748286679620550,True,2136
1,137,97,104,1748286680723364,True,2137
1,138,110,111,1748286681827810,True,2138
1,139,115,117,1748286682931024,True,2139
1,140,109,116,1748286684034276,True,2140
1,141,105,32,1748286685137446,True,2141
1,142,116,97,1748286686243322,True,2142
1,143,116,110,1748286687345798,True,2143
1,144,101,121,1748286688450777,True,2144
1,145,100,111,1748286689555223,True,2145
1,146,32,110,1748286690658712,True,2146
1,147,118,101,1748286691763397,True,2147
1,148,105,32,1748286692865881,True,2148
1,149,97,100,1748286693969699,True,2149
1,150,32,101,1748286695074385,True,2150
1,151,84,116,1748286696179713,True,2151
1,152,67,101,1748286697282137,True,2152
1,153,80,99,1748286698387771,True,2153
1,154,32,116,1748286699490419,True,2154
1,155,119,105,1748286700594048,True,2155
1,156,105,110,1748286701695890,True,2156
1,157,110,103,1748286702800759,True,2157
1,158,100,32,1748286703903736,True,2158
1,159,111,116,1748286705006635,True,2159
1,160,119,104,1748286706109263,True,2160
1,161,32,101,1748286707213040,True,2161
1,162,115,32,1748286708316507,True,2162
1,163,105,99,1748286709420438,True,2163
1,164,63,0,1748286709435786,False,2164
1,165,101,118,1748286711625923,True,2165
1,166,32,101,1748286712730541,True,2166
1,167,99,114,1748286713833845,True,2167
1,168,111,116,1748286714936998,True,2168
1,169,118,32,1748286716040182,True,2169
1,170,101,99,1748286717142020,True,2170
1,171,114,111,1748286718244797,True,2171
1,172,116,109,1748286719348904,True,2172
1,173,32,109,1748286720452038,True,2173
1,174,99,117,1748286721555025,True,2174
1,175,104,110,1748286722659943,True,2175
1,176,97,105,1748286723764717,True,2176
1,177,110,99,1748286724866030,True,2177
1,178,110,97,1748286725969925,True,2178
1,179,101,116,1748286727073348,True,2179
1,180,108,105,1748286728175861,True,2180
1,181,46,111,1748286729279642,True,2181
1,182,110,110,1748286730382463,False,2182
1,183,84,46,1748286731486086,True,2183
1,184,10,10,1748286732590616,False,2184
1,185,101,84,1748286733692211,True,2185
1,186,32,101,1748286734797365,True,2186
1,187,114,115,1748286735900382,True,2187
1,188,101,116,1748286737004678,True,2188
1,189,99,105,1748286738107229,True,2189
1,190,101,110,1748286739213311,True,2190
1,191,105,103,1748286740315099,True,2191
1,192,118,32,1748286741419032,True,2192
1,193,101,49,1748286742522336,True,2193
1,194,114,45,1748286743624049,True,2194
1,195,32,50,1748286744726621,True,2195
1,196,115,45,1748286745831411,True,2196
1,197,104,51,1748286746934207,True,2197
1,198,111,46,1748286748037675,True,2198
1,199,117,46,1748286749139948,True,2199
1,200,108,46,1748286750244189,True,2200
1,201,100,32,1748286751349643,True,2201
1,202,32,84,1748286752451705,True,2202
1,203,115,114,1748286753557672,True,2203
1,204,32,97,1748286754658684,True,2204
1,205,32,110,1748286755763015,True,2205
1,206,63,0,1748286755776888,False,2206
1,207,98,102,1748286757968569,True,2207
1,208,108,101,1748286759071248,True,2208
1,209,32,114,1748286760176390,True,2209
1,210,116,32,1748286761281756,True,2210
1,211,116,99,1748286762385972,True,2211
1,212,111,111,1748286763489813,False,2212
1,213,32,109,1748286764593639,True,2213
1,214,100,112,1748286765696228,True,2214
1,215,101,108,1748286766798867,True,2215
1,216,99,101,1748286767904197,True,2216
1,217,111,116,1748286769007605,True,2217
1,218,101,101,1748286770110951,False,2218
1,219,116,33,1748286771214076,True,2219
1,220,32,32,1748286772318259,False,2220
