run,index,ascii,time_us,retransmissions
1,0,84,1748293246320164,0
1,1,104,1748293246425811,0
1,2,105,1748293246531890,0
1,3,115,1748293246637778,0
1,4,32,1748293246742975,0
1,5,105,1748293246848790,0
1,6,115,1748293246954654,0
1,7,32,1748293247059888,0
1,8,97,1748293247165346,0
1,9,32,1748293247270890,0
1,10,116,1748293247376973,0
1,11,111,1748293247481846,0
1,12,112,1748293247588871,0
1,13,32,1748293247696193,0
1,14,115,1748293247801392,0
1,15,101,1748293247907861,0
1,16,99,1748293248013327,0
1,17,114,1748293248118041,0
1,18,101,1748293248223924,0
1,19,116,1748293248328991,0
1,20,32,1748293248435001,0
1,21,109,1748293248541385,0
1,22,101,1748293248646462,0
1,23,115,1748293248753471,0
1,24,115,1748293248857809,0
1,25,97,1748293248965753,0
1,26,103,1748293249071913,0
1,27,101,1748293249178118,0
1,28,32,1748293249283430,0
1,29,98,1748293249388460,0
1,30,101,1748293249494918,0
1,31,105,1748293249599728,0
1,32,110,1748293249706068,0
1,33,103,1748293249810873,0
1,34,32,1748293249916218,0
1,35,116,1748293250023143,0
1,36,114,1748293250129931,0
1,37,97,1748293250236361,0
1,38,110,1748293250340963,0
1,39,115,1748293250445825,0
1,40,109,1748293250552263,0
1,41,105,1748293250656895,0
1,42,116,1748293250762535,0
1,43,116,1748293250870008,0
1,44,101,1748293250975580,0
1,45,100,1748293251081973,0
1,46,32,1748293251189124,0
1,47,118,1748293251296114,0
1,48,105,1748293251403783,0
1,49,97,1748293251511325,0
1,50,32,1748293251616096,0
1,51,84,1748293251721431,0
1,52,67,1748293251829069,0
1,53,80,1748293251934582,0
1,54,32,1748293252039918,0
1,55,119,1748293252145078,0
1,56,105,1748293252249959,0
1,57,110,1748293252355368,0
1,58,100,1748293252463337,0
1,59,111,1748293252569122,0
1,60,119,1748293252673663,0
1,61,32,1748293252778902,0
1,62,115,1748293252885821,0
1,63,105,1748293252992079,0
1,64,122,1748293253099081,0
1,65,101,1748293253204661,0
1,66,32,1748293253311714,0
1,67,99,1748293253417922,0
1,68,111,1748293253522889,0
1,69,118,1748293253628764,0
1,70,101,1748293253733924,0
1,71,114,1748293253838725,0
1,72,116,1748293253944183,0
1,73,32,1748293254050170,0
1,74,99,1748293254155250,0
1,75,104,1748293254260837,0
1,76,97,1748293254366057,0
1,77,110,1748293254470870,0
1,78,110,1748293254575944,0
1,79,101,1748293254681784,0
1,80,108,1748293254787319,0
1,81,46,1748293254893346,0
1,82,10,1748293254999209,0
1,83,84,1748293255105416,0
1,84,104,1748293255210946,0
1,85,101,1748293255315765,0
1,86,32,1748293255421403,0
1,87,114,1748293255528873,0
1,88,101,1748293255636002,0
1,89,99,1748293255742028,0
1,90,101,1748293255847232,0
1,91,105,1748293255952178,0
1,92,118,1748293256056795,0
1,93,101,1748293256161865,0
1,94,114,1748293256267336,0
1,95,32,1748293256371742,0
1,96,115,1748293256476803,0
1,97,104,1748293256582165,0
1,98,111,1748293256688995,0
1,99,117,1748293256796101,0
1,100,108,1748293256901347,0
1,101,100,1748293257007460,0
1,102,32,1748293257113008,0
1,103,98,1748293257218834,0
1,104,101,1748293257323807,0
1,105,32,1748293257429031,0
1,106,97,1748293257533905,0
1,107,98,1748293257640596,0
1,108,108,1748293257744871,0
