run,index,ascii,time_us
1,0,73,1744376201621399
1,1,110,1744376202022794
1,2,32,1744376203304507
1,3,116,1744376203480772
1,4,104,1744376204650924
1,5,101,1744376205296983
1,6,32,1744376206090690
1,7,79,1744376206667137
1,8,117,1744376208650733
1,9,116,1744376209661593
1,10,101,1744376210408924
1,11,114,1744376210631684
1,12,32,1744376211936321
1,13,82,1744376212346405
1,14,105,1744376212439040
1,15,109,1744376212636209
1,16,44,1744376214098024
1,17,32,1744376214379025
1,18,115,1744376214973581
1,19,109,1744376217856660
1,20,117,1744376219037309
1,21,103,1744376220213045
1,22,103,1744376221990805
1,23,108,1744376222338668
1,24,101,1744376224349785
1,25,114,1744376226735957
1,26,32,1744376226808512
1,27,75,1744376227679547
1,28,101,1744376228023389
1,29,108,1744376228039752
1,30,110,1744376228092244
1,31,32,1744376230914771
1,32,68,1744376232437822
1,33,97,1744376233058861
1,34,114,1744376234201550
1,35,111,1744376235083200
1,36,32,1744376235115523
1,37,112,1744376237265215
1,38,105,1744376238286480
1,39,108,1744376239359912
1,40,111,1744376239709706
1,41,116,1744376239855059
1,42,115,1744376241551989
1,43,32,1744376241872960
1,44,116,1744376243663970
1,45,104,1744376244592778
1,46,101,1744376245303623
1,47,32,1744376246869164
1,48,83,1744376248930680
1,49,104,1744376250279784
1,50,97,1744376252214970
1,51,100,1744376252409644
1,52,111,1744376254431863
1,53,119,1744376256135406
1,54,32,1744376256588057
1,55,76,1744376256852431
1,56,97,1744376257146558
1,57,110,1744376257351829
1,58,99,1744376257610902
1,59,101,1744376258042133
1,60,32,1744376259940761
1,61,116,1744376260048753
1,62,104,1744376261192224
1,63,114,1744376263379324
1,64,111,1744376263766131
1,65,117,1744376264134298
1,66,103,1744376264346174
1,67,104,1744376264570567
1,68,32,1744376265624577
1,69,97,1744376266886735
1,70,115,1744376267980332
1,71,116,1744376270378953
1,72,101,1744376270969350
1,73,114,1744376271189318
1,74,111,1744376272244911
1,75,105,1744376274983997
1,76,100,1744376276124929
1,77,32,1744376276241099
1,78,102,1744376276307338
1,79,105,1744376276490942
1,80,101,1744376277861545
1,81,108,1744376278988914
1,82,100,1744376279126497
1,83,115,1744376279309617
1,84,46,1744376279416995
1,85,32,1744376279461956
1,86,72,1744376279522228
1,87,105,1744376281574803
1,88,100,1744376281734168
1,89,100,1744376282132053
1,90,101,1744376283502746
1,91,110,1744376284146196
1,92,32,1744376284628386
1,93,111,1744376284712597
1,94,110,1744376285845536
1,95,98,1744376289731625
1,96,111,1744376291412259
1,97,97,1744376292205592
1,98,114,1744376293307811
1,99,100,1744376295384271
1,100,32,1744376296807169
1,101,108,1744376297897003
1,102,105,1744376301185367
1,103,101,1744376301735683
1,104,115,1744376303153522
1,105,32,1744376303217774
1,106,97,1744376303446182
1,107,32,1744376303654784
1,108,107,1744376303960058
1,109,121,1744376304170884
1,110,98,1744376304973125
1,111,101,1744376305815784
1,112,114,1744376308661501
1,113,32,1744376309293578
1,114,115,1744376309390004
1,115,104,1744376310108458
1,116,97,1744376310588337
1,117,114,1744376312094022
1,118,100,1744376312096769
1,119,226,1744376312826930
1,120,128,1744376313040262
1,121,148,1744376313568127
1,122,105,1744376313859355
1,123,116,1744376314021057
1,124,115,1744376314054611
1,125,32,1744376315007315
1,126,103,1744376315819827
1,127,108,1744376315983350
1,128,111,1744376316772924
1,129,119,1744376317091799
1,130,32,1744376317272831
1,131,97,1744376318196703
1,132,119,1744376318434803
1,133,97,1744376318508358
1,134,107,1744376320187709
1,135,101,1744376320266939
1,136,110,1744376320627064
1,137,115,1744376321346863
1,138,32,1744376321619676
1,139,74,1744376321892001
1,140,117,1744376322060766
1,141,110,1744376322063800
1,142,111,1744376322386102
1,143,44,1744376322845120
1,144,32,1744376324855253
1,145,97,1744376325816147
1,146,32,1744376326742481
1,147,115,1744376327933522
1,148,116,1744376329917894
1,149,111,1744376330100209
1,150,119,1744376330735760
1,151,97,1744376332618494
1,152,119,1744376334275704
1,153,97,1744376334962810
1,154,121,1744376335219018
1,155,32,1744376335761673
1,156,116,1744376337273933
1,157,105,1744376337549407
1,158,101,1744376338471680
1,159,100,1744376338591911
1,160,32,1744376339134810
1,161,116,1744376340165630
1,162,111,1744376340366621
1,163,32,1744376340470381
1,164,74,1744376340828411
1,165,101,1744376342978200
1,166,100,1744376343757026
1,167,105,1744376345120785
1,168,32,1744376345447428
1,169,108,1744376346308068
1,170,111,1744376346547976
1,171,114,1744376346608379
1,172,101,1744376347442050
1,173,46,1744376347714268
1,174,32,1744376347791175
1,175,79,1744376349971869
1,176,110,1744376350218937
1,177,32,1744376351366724
1,178,66,1744376351503813
1,179,97,1744376352290143
1,180,115,1744376352476824
1,181,116,1744376352921394
1,182,105,1744376353322822
1,183,118,1744376353638679
1,184,97,1744376354453223
1,185,114,1744376354783710
1,186,44,1744376354900988
1,187,32,1744376354905518
1,188,116,1744376356096996
1,189,104,1744376356194633
1,190,101,1744376357216051
1,191,32,1744376357693171
1,192,69,1744376358677894
1,193,109,1744376359192115
1,194,112,1744376359271260
1,195,105,1744376359657908
1,196,114,1744376360514387
1,197,101,1744376360627528
1,198,32,1744376360671689
1,199,115,1744376361886378
1,200,116,1744376362354053
1,201,105,1744376363066853
1,202,114,1744376363671231
1,203,115,1744376364030988
1,204,46,1744376365787798
1,205,32,1744376365937136
1,206,65,1744376366534106
1,207,32,1744376367259978
1,208,114,1744376368677030
1,209,101,1744376368760522
1,210,115,1744376368909632
1,211,105,1744376369114990
1,212,115,1744376369390078
1,213,116,1744376371075098
1,214,97,1744376372424802
1,215,110,1744376372455060
1,216,99,1744376373660183
1,217,101,1744376375107190
1,218,32,1744376375307218
1,219,114,1744376376065681
